,Seller ID,Seller's Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction
0,1,Electronic,2017-09-20,2018-02-02,2018-02-07,2018-10-06,2018-10-10
1,2,BBFF,2017-08-19,2018-05-24,2018-08-13,2018-08-14,2018-09-02
2,3,BBFF,2017-12-04,2018-05-04,2018-10-06,2018-10-10,2018-10-12
3,4,BBFF,2017-10-16,2018-04-23,2018-07-04,2018-07-10,2018-07-10
4,5,BBFF,2017-12-13,2018-07-25,2018-08-30,2018-08-31,2018-09-14
5,6,LifeStyle,2018-01-04,2018-03-21,2018-06-11,2018-09-19,2018-09-20
6,7,BBFF,2018-01-26,2018-03-06,2018-10-01,2018-10-02,2018-10-14
7,8,LifeStyle,2017-11-29,2018-05-10,2018-07-26,2018-07-28,2018-08-04
8,9,BBFF,2017-11-28,2018-04-20,2018-07-23,2018-07-24,2018-08-12
9,10,BBFF,2018-02-02,2018-03-30,2018-03-30,2018-09-27,2018-09-30
10,11,BBFF,2017-10-09,2018-02-06,2018-03-23,2018-05-30,2018-06-02
11,12,LifeStyle,2017-10-12,2018-04-11,2018-04-27,2018-05-30,2018-06-06
12,13,BBFF,2018-01-14,2018-02-06,2018-07-19,2018-08-06,2018-08-06
13,14,BBFF,2018-03-22,2018-03-30,2018-06-12,2018-10-06,2018-10-06
14,15,BBFF,2018-01-30,2018-03-02,2018-08-09,2018-08-11,2018-08-10
15,16,Electronic,2018-03-28,2018-03-29,2018-04-18,2018-10-07,2018-10-15
16,17,BBFF,2018-04-05,2018-04-27,2018-04-20,2018-10-15,2018-10-16
17,18,BBFF,2018-02-02,2018-03-05,2018-02-27,2018-08-06,2018-08-06
18,19,BBFF,2018-04-16,2018-04-26,2018-10-17,2018-10-17,2018-10-17
19,20,BBFF,2018-04-04,2018-04-18,2018-05-13,2018-10-04,2018-10-07
20,21,LifeStyle,2018-04-16,2018-04-20,2018-10-15,2018-10-15,2018-10-15
21,22,BBFF,2018-02-02,2018-07-30,2018-07-31,2018-08-02,2018-08-05
22,23,BBFF,2018-04-18,2018-05-25,2018-06-11,2018-10-16,2018-10-18
23,24,Electronic,2017-09-24,2018-02-05,2018-03-19,2018-03-22,2018-03-31
24,25,BBFF,2018-03-24,2018-03-28,2018-09-18,2018-09-19,2018-10-12
25,26,BBFF,2017-11-28,2018-05-03,2018-05-23,2018-05-25,2018-07-19
26,27,BBFF,2018-04-17,2018-06-22,2018-10-03,2018-10-12,2018-10-13
27,28,LifeStyle,2018-04-14,2018-04-23,2018-10-02,2018-10-08,2018-10-08
28,29,Electronic,2018-03-22,2018-03-26,2018-04-02,2018-09-13,2018-09-28
29,30,BBFF,2018-04-06,2018-05-11,2018-06-13,2018-09-28,2018-09-28
30,31,BBFF,2018-01-23,2018-02-08,2018-02-22,2018-07-14,2018-07-14
31,32,BBFF,2018-04-11,2018-04-20,2018-08-23,2018-09-28,2018-09-28
32,33,BBFF,2018-01-29,2018-02-08,2018-03-27,2018-07-17,2018-07-29
33,34,LifeStyle,2018-04-19,2018-09-25,2018-09-26,2018-10-04,2018-10-05
34,35,Electronic,2018-04-21,2018-04-27,2018-09-29,2018-10-06,2018-10-05
35,36,Electronic,2018-04-26,2018-10-03,2018-10-09,2018-10-11,2018-10-18
36,37,BBFF,2018-04-16,2018-07-27,2018-09-22,2018-09-26,2018-09-27
37,38,Digital Service,2018-01-24,2018-04-18,2018-04-18,2018-07-05,2018-07-05
38,39,BBFF,2018-04-20,2018-06-22,2018-05-16,2018-09-29,2018-09-28
39,40,BBFF,2018-04-26,2018-06-05,2018-08-14,2018-10-04,2018-10-05
40,41,BBFF,2018-05-03,2018-05-25,2018-10-08,2018-10-09,2018-10-13
41,42,BBFF,2018-02-02,2018-03-05,2018-07-04,2018-07-10,2018-07-11
42,43,BBFF,2018-03-24,2018-03-28,2018-05-14,2018-08-27,2018-08-30
43,44,Book,2018-04-10,2018-08-10,2018-09-13,2018-09-13,2018-09-13
44,45,LifeStyle,2018-04-18,2018-09-21,2018-09-13,2018-09-21,2018-10-04
45,46,BBFF,2018-04-13,2018-04-26,2018-08-03,2018-09-15,2018-09-16
46,47,LifeStyle,2018-03-24,2018-04-23,2018-08-09,2018-08-24,2018-09-24
47,48,Digital Service,2018-04-06,2018-07-31,2018-08-28,2018-09-05,2018-10-15
48,49,BBFF,2018-04-09,2018-04-19,2018-08-23,2018-09-08,2018-09-09
49,50,BBFF,2018-02-06,2018-03-16,2018-04-02,2018-07-07,2018-07-09
50,51,BBFF,2018-03-09,2018-03-22,2018-05-23,2018-08-06,2018-08-25
51,52,BBFF,2018-03-23,2018-05-29,2018-07-19,2018-08-20,2018-09-01
52,53,BBFF,2017-12-26,2018-04-26,2018-05-09,2018-05-23,2018-05-29
53,54,BBFF,2018-03-24,2018-03-29,2018-08-18,2018-08-19,2018-08-23
54,55,BBFF,2018-03-29,2018-04-05,2018-07-12,2018-08-24,2018-08-26
55,56,BBFF,2018-04-06,2018-05-07,2018-08-29,2018-09-01,2018-09-05
56,57,BBFF,2018-04-19,2018-08-21,2018-08-31,2018-09-14,2018-10-05
57,58,Digital Service,2018-03-23,2018-08-09,2018-04-02,2018-08-16,2018-10-10
58,59,BBFF,2018-03-23,2018-03-29,2018-04-13,2018-08-16,2018-08-19
59,60,LifeStyle,2018-04-26,2018-04-27,2018-06-13,2018-09-19,2018-10-09
60,61,BBFF,2018-01-23,2018-02-06,2018-05-29,2018-06-17,2018-06-19
61,62,LifeStyle,2018-03-23,2018-03-28,2018-05-16,2018-08-15,2018-08-15
62,63,LifeStyle,2018-04-27,2018-04-27,2018-06-18,2018-09-18,2018-09-19
63,64,BBFF,2018-05-20,2018-06-08,2018-10-08,2018-10-11,2018-10-17
64,65,BBFF,2018-03-28,2018-03-30,2018-05-03,2018-08-18,2018-08-18
65,66,Electronic,2018-04-06,2018-07-19,2018-07-27,2018-08-27,2018-08-28
66,67,LifeStyle,2018-04-28,2018-06-18,2018-07-06,2018-09-18,2018-09-18
67,68,BBFF,2018-05-09,2018-07-03,2018-07-09,2018-09-29,2018-09-29
68,69,LifeStyle,2018-03-05,2018-04-18,2018-03-19,2018-07-25,2018-07-24
69,70,LifeStyle,2018-04-09,2018-04-26,2018-08-02,2018-08-28,2018-08-29
70,71,BBFF,2018-04-26,2018-08-20,2018-09-11,2018-09-14,2018-10-10
71,72,LifeStyle,2018-03-28,2018-07-28,2018-08-08,2018-08-15,2018-09-08
72,73,BBFF,2018-04-20,2018-04-23,2018-09-04,2018-09-07,2018-09-06
73,74,BBFF,2018-04-06,2018-04-23,2018-08-21,2018-08-23,2018-08-28
74,75,Electronic,2018-01-26,2018-05-21,2018-06-11,2018-06-12,2018-08-03
75,76,BBFF,2018-01-24,2018-02-06,2018-03-12,2018-06-09,2018-06-11
76,77,BBFF,2018-03-23,2018-03-28,2018-07-26,2018-08-06,2018-08-30
77,78,LifeStyle,2018-04-11,2018-08-15,2018-08-16,2018-08-25,2018-08-29
78,79,LifeStyle,2018-05-16,2018-09-26,2018-09-26,2018-09-27,2018-09-27
79,80,BBFF,2018-05-23,2018-09-21,2018-09-24,2018-10-04,2018-10-07
80,81,Digital Service,2018-01-10,2018-05-22,2018-05-22,2018-05-23,2018-05-29
81,82,Electronic,2018-04-09,2018-05-23,2018-08-13,2018-08-20,2018-08-22
82,83,Electronic,2018-04-20,2018-07-24,2018-08-29,2018-08-30,2018-09-08
83,84,Electronic,2018-04-11,2018-05-23,2018-08-09,2018-08-20,2018-08-20
84,85,Electronic,2018-04-23,2018-04-24,2018-06-16,2018-09-01,2018-09-03
85,86,BBFF,2018-01-30,2018-03-14,2018-03-26,2018-06-09,2018-06-11
86,87,Electronic,2018-05-25,2018-05-29,2018-10-02,2018-10-02,2018-10-11
87,88,BBFF,2018-04-16,2018-08-21,2018-08-22,2018-08-23,2018-09-26
88,89,BBFF,2018-01-14,2018-04-20,2018-05-02,2018-05-22,2018-05-24
89,90,BBFF,2018-05-05,2018-06-22,2018-09-08,2018-09-10,2018-09-20
90,91,Digital Service,2018-04-05,2018-07-31,2018-08-06,2018-08-10,2018-09-07
91,92,LifeStyle,2018-01-24,2018-03-06,2018-04-04,2018-05-30,2018-06-03
92,93,BBFF,2018-06-05,2018-08-29,2018-10-09,2018-10-09,2018-10-11
93,94,LifeStyle,2018-06-07,2018-07-17,2018-10-11,2018-10-11,2018-10-17
94,95,Electronic,2018-06-07,2018-06-11,2018-10-08,2018-10-11,2018-10-17
95,96,BBFF,2018-02-02,2018-03-13,2018-06-06,2018-06-07,2018-06-10
96,97,Electronic,2018-03-24,2018-03-28,2018-07-24,2018-07-27,2018-07-26
97,98,LifeStyle,2018-04-23,2018-08-17,2018-08-21,2018-08-25,2018-08-26
98,99,BBFF,2018-05-10,2018-05-25,2018-09-07,2018-09-11,2018-09-11
99,100,Book,2018-05-18,2018-09-24,2018-08-28,2018-09-19,2018-10-01
100,101,LifeStyle,2018-05-24,2018-05-25,2018-05-26,2018-09-25,2018-09-25
101,102,Electronic,2018-04-27,2018-07-11,2018-05-03,2018-08-28,2018-09-28
102,103,BBFF,2018-05-11,2018-05-15,2018-09-10,2018-09-11,2018-09-12
103,104,BBFF,2018-04-03,2018-04-19,2018-08-02,2018-08-03,2018-08-07
104,105,Book,2018-01-29,2018-04-09,2018-04-20,2018-05-30,2018-05-31
105,106,BBFF,2018-03-29,2018-03-30,2018-04-23,2018-07-28,2018-08-04
106,107,Electronic,2018-03-23,2018-03-29,2018-05-11,2018-07-21,2018-07-24
107,108,BBFF,2018-05-09,2018-08-14,2018-05-11,2018-09-06,2018-09-15
108,109,LifeStyle,2018-06-08,2018-06-25,2018-10-06,2018-10-06,2018-10-13
109,110,Digital Service,2018-03-27,2018-07-20,2018-06-12,2018-07-24,2018-08-16
110,111,Electronic,2018-04-23,2018-06-18,2018-07-04,2018-08-20,2018-08-26
111,112,LifeStyle,2018-05-10,2018-08-09,2018-08-09,2018-09-06,2018-09-15
112,113,BBFF,2018-05-10,2018-06-27,2018-08-08,2018-09-06,2018-09-17
113,114,BBFF,2018-06-05,2018-09-19,2018-08-24,2018-10-02,2018-10-14
114,115,BBFF,2018-03-09,2018-04-18,2018-07-04,2018-07-05,2018-07-06
115,116,LifeStyle,2018-04-21,2018-07-23,2018-08-16,2018-08-17,2018-08-20
116,117,BBFF,2018-02-01,2018-03-07,2018-05-21,2018-05-29,2018-06-03
117,118,BBFF,2018-03-19,2018-04-23,2018-07-12,2018-07-14,2018-07-15
118,119,BBFF,2018-03-29,2018-06-15,2018-07-05,2018-07-24,2018-07-24
119,120,BBFF,2018-05-03,2018-05-07,2018-06-29,2018-08-28,2018-08-29
120,121,Electronic,2018-06-13,2018-08-24,2018-10-04,2018-10-08,2018-10-15
121,122,BBFF,2018-06-21,2018-07-06,2018-07-05,2018-10-16,2018-10-16
122,123,LifeStyle,2018-01-09,2018-02-23,2018-05-03,2018-05-05,2018-05-05
123,124,LifeStyle,2018-05-05,2018-05-09,2018-08-28,2018-08-29,2018-08-28
124,125,BBFF,2018-05-15,2018-05-17,2018-09-07,2018-09-08,2018-09-12
125,126,BBFF,2018-05-17,2018-06-28,2018-08-13,2018-09-10,2018-09-19
126,127,Book,2018-04-13,2018-07-24,2018-07-25,2018-08-06,2018-08-06
127,128,LifeStyle,2018-04-24,2018-05-24,2018-07-18,2018-08-17,2018-08-24
128,129,BBFF,2018-05-18,2018-05-23,2018-09-06,2018-09-10,2018-09-20
129,130,BBFF,2018-02-05,2018-04-18,2018-05-25,2018-05-30,2018-06-14
130,131,BBFF,2018-04-25,2018-08-14,2018-04-28,2018-08-17,2018-08-22
131,132,BBFF,2018-05-15,2018-08-27,2018-09-05,2018-09-06,2018-10-09
132,133,Book,2018-02-06,2018-03-05,2018-04-06,2018-05-30,2018-06-12
133,134,BBFF,2018-05-28,2018-08-29,2018-09-17,2018-09-18,2018-09-20
134,135,BBFF,2018-05-09,2018-07-31,2018-05-18,2018-08-29,2018-09-05
135,136,BBFF,2018-05-03,2018-05-17,2018-06-04,2018-08-22,2018-08-23
136,137,Electronic,2018-05-05,2018-05-14,2018-08-20,2018-08-24,2018-08-28
137,138,LifeStyle,2018-06-06,2018-07-23,2018-09-22,2018-09-25,2018-09-27
138,139,BBFF,2018-06-15,2018-06-28,2018-09-25,2018-10-04,2018-10-05
139,140,LifeStyle,2018-02-05,2018-02-23,2018-02-10,2018-05-26,2018-05-27
140,141,BBFF,2018-04-03,2018-04-19,2018-04-10,2018-07-22,2018-07-24
141,142,BBFF,2018-06-20,2018-07-06,2018-07-18,2018-10-08,2018-10-10
142,143,LifeStyle,2018-06-21,2018-06-25,2018-08-01,2018-10-09,2018-10-09
